cas_number,descriptors,smiles,pages,desc_len
57345-19-4,"['powderi', 'amber', 'woodi']",CC1(C)CCCC2(C)C1CCC34COC(C)(CCC23)O4,http://www.thegoodscentscompany.com/data/rw1547611.html,3
42824-62-4,"['amber', 'woodi', 'warm']",C1CCCCCC2COCC2CCCC1,http://www.thegoodscentscompany.com/data/rw1023251.html,3
41199-19-3,"['earthi', 'anim', 'amber', 'natur', 'warm', 'musk', 'tobacco', 'woodi']",CC1(O)CCC2C(=CCCC2(C)C)C1,http://www.thegoodscentscompany.com/data/rw1039181.html,5
42604-12-6,"['amber', 'cedar', 'woodi']",COCOC1CCCCCCCCCCC1,http://www.thegoodscentscompany.com/data/rw1023231.html,3
123-69-3,"['musti', 'musk', 'anim']",O=C1CCCCC\C=C/CCCCCCCCO1,http://www.thegoodscentscompany.com/data/rw1399741.html,3
28645-51-4,"['musk', 'waxi', 'berri', 'fruiti']",O=C1CCCCCCC\C=C/CCCCCCO1,http://www.thegoodscentscompany.com/data/rw1026271.html,4
71832-76-3,"['amber', 'musk', 'natur', 'anim']",CC1(O)CCC2C(=CCCC2(C)C)C1,http://www.thegoodscentscompany.com/data/rw1024191.html,4
65588-69-4,"['amber', 'pine', 'green', 'cedar', 'musk', 'woodi']",CC1(C)CCCC2(C)C3CCOC3CCC12,http://www.thegoodscentscompany.com/data/rw1022031.html,6
628-63-7,"['banana', 'appl', 'ether', 'fresh', 'pear', 'juici', 'fruiti']",CCCCCOC(C)=O,http://www.thegoodscentscompany.com/data/rw1040001.html,7
123-92-2,"['banana', 'fruiti', 'natur']",CC(C)CCOC(C)=O,http://www.thegoodscentscompany.com/data/rw1006711.html,3
2308-18-1,"['ether', 'green', 'ripe', 'wine', 'ferment', 'fruiti']",CC(C)CCOC(=O)CC(C)=O,http://www.thegoodscentscompany.com/data/rw1003181.html,6
71-41-0,"['balsam', 'gerard', 'pungent', 'ferment', 'winey']",CCCCCO,http://www.thegoodscentscompany.com/data/rw1003191.html,5
123-51-3,"['cognac', 'banana', 'pungent', 'alcohol', 'wine', 'coffe', 'gerard', 'fruiti', 'chocol', 'cocoa', 'winey', 'plum', 'cherri', 'beverag', 'apricot']",CC(C)CCO,http://www.thegoodscentscompany.com/data/rw1014671.html,15
10482-55-0,"['floral', 'fruiti']",C/C=C(/C)C(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1044991.html,2
2049-96-9,"['balsam', 'amber', 'floral', 'green']",CCCCCOC(=O)c1ccccc1,http://www.thegoodscentscompany.com/data/rw1047711.html,4
94-46-2,"['balsam', 'gerard', 'green', 'fruiti']",CC(C)CCOC(=O)c1ccccc1,http://www.thegoodscentscompany.com/data/rw1021011.html,4
540-18-1,"['banana', 'apricot', 'gerard', 'cherri', 'fruiti', 'pineappl', 'tropic']",CCCCCOC(=O)CCC,http://www.thegoodscentscompany.com/data/rw1004151.html,7
106-27-4,"['cognac', 'banana', 'appl', 'fresh', 'pineappl', 'tropic', 'melon', 'pear', 'grape', 'gerard', 'fruiti', 'chocol', 'apricot', 'green', 'cherri']",CCCC(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1006752.html,15
2445-72-9,"['banana', 'appl', 'fresh', 'butteri', 'fruiti', 'apricot']",CCCCCOC(=O)C(C)C,http://www.thegoodscentscompany.com/data/rw1048881.html,6
2050-01-3,"['banana', 'appl', 'gerard', 'green', 'waxi', 'cocoa', 'fruiti', 'pineappl', 'apricot']",CC(C)CCOC(=O)C(C)C,http://www.thegoodscentscompany.com/data/rw1003311.html,9
122-40-7,"['appl', 'spice', 'tropic', 'powderi', 'aromat', 'herbal', 'peach', 'gerard', 'fruiti', 'herbac', 'oili', 'floral', 'green', 'jasmin', 'floreal', 'apricot']",CCCCC/C(C=O)=C/c1ccccc1,http://www.thegoodscentscompany.com/data/rw1001011.html,16
1331-92-6,['floral'],CCCCC\C(C=O)=C/c1ccccc1,http://www.thegoodscentscompany.com/data/rw1120711.html,1
60763-41-9,"['aldehyd', 'floral', 'ether', 'green', 'jasmin', 'honey']",CCCCC\C(=C/c1ccccc1)C(OCC)OCC,http://www.thegoodscentscompany.com/data/rw1015711.html,6
91-87-2,"['green', 'jasmin', 'lili']",CCCCC\C(=C/c1ccccc1)C(OC)OC,http://www.thegoodscentscompany.com/data/rw1003331.html,3
67924-13-4,"['floral', 'fatti', 'fresh']",CCCCCC\C(C=Nc1ccccc1C(=O)OC)=C/c2ccccc2,http://www.thegoodscentscompany.com/data/rw1033871.html,3
3487-99-8,"['balsam', 'amber', 'cocoa']",CCCCCOC(=O)\C=C\c1ccccc1,http://www.thegoodscentscompany.com/data/rw1048861.html,3
7779-65-9,"['amber', 'powderi', 'balsam', 'floral', 'gerard', 'berri', 'fruiti', 'cocoa', 'spici']",CC(C)CCOC(=O)/C=C/c1ccccc1,http://www.thegoodscentscompany.com/data/rw1021111.html,9
85180-66-1,['balsam'],CC(C)CCOC(=O)/C=C/c1ccccc1,http://www.thegoodscentscompany.com/data/rw1521501.html,1
7493-78-9,"['balsam', 'floral', 'gerard', 'leather', 'fatti', 'jasmin', 'fruiti', 'chocol', 'spici', 'tropic']",CCCCCC(OC(C)=O)\C=C\c1ccccc1,http://www.thegoodscentscompany.com/data/rw1012531.html,10
101-85-9,"['floral', 'gerard', 'cinnamon', 'jasmin', 'fruiti', 'spici']",CCCCC\C(CO)=C/c1ccccc1,http://www.thegoodscentscompany.com/data/rw1030791.html,6
7493-79-0,"['green', 'oili', 'herbal']",CCCCC/C(COC=O)=C/c1ccccc1,http://www.thegoodscentscompany.com/data/rw1003351.html,3
7493-80-3,"['oili', 'tobacco', 'fruiti']",CCCCCC(/COC(=O)CC(C)C)=C/c1ccccc1,http://www.thegoodscentscompany.com/data/rw1003381.html,3
40942-73-2,"['jasmin', 'floral']",CCCCCC1C(CCC1=O)CC(C)=O,http://www.thegoodscentscompany.com/data/rw1048571.html,2
5933-87-9,"['cognac', 'winey', 'fruiti']",CCCCCCCCCC(=O)OCCCCC,http://www.thegoodscentscompany.com/data/rw1038971.html,3
2306-91-4,"['cognac', 'banana', 'gerard', 'green', 'coconut', 'waxi', 'fruiti']",CCCCCCCCCC(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1001591.html,7
10484-36-3,"['balsam', 'spice', 'floral']",CCCCCOc1ccc(\C=C\C)cc1OC,http://www.thegoodscentscompany.com/data/rw1003491.html,3
638-49-3,"['banana', 'ether', 'green', 'fruiti']",CCCCCOC=O,http://www.thegoodscentscompany.com/data/rw1015511.html,4
110-45-2,"['banana', 'appl', 'ether', 'earthi', 'alcohol', 'wine', 'peach', 'gerard', 'strawberri', 'fruiti', 'plum', 'orang', 'green', 'bakeri', 'sharp', 'chees', 'beverag', 'apricot']",CC(C)CCOC=O,http://www.thegoodscentscompany.com/data/rw1019851.html,18
1334-82-3,"['oili', 'ripe', 'fruiti', 'herbal', 'herbac']",CCCCCOC(=O)c1occc1,http://www.thegoodscentscompany.com/data/rw1003551.html,5
68133-73-3,"['rose', 'lemon', 'herbal', 'honey']",CC(C)CCOC(=O)/C=C(C)/CCC=C(C)C,http://www.thegoodscentscompany.com/data/rw1005961.html,4
7493-82-5,"['banana', 'ether', 'coconut', 'lemon', 'fruiti']",CCCCCCC(=O)OCCCCC,http://www.thegoodscentscompany.com/data/rw1003581.html,5
109-25-1,"['banana', 'grassi', 'herbal', 'fruiti']",CCCCCCC(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1003611.html,4
540-07-8,"['cognac', 'appl', 'pear', 'gerard', 'green', 'waxi', 'fruiti', 'pineappl']",CCCCCOC(=O)CCCCC,http://www.thegoodscentscompany.com/data/rw1019921.html,8
2198-61-0,"['banana', 'appl', 'pungent', 'pineappl', 'alcohol', 'peach', 'citrus', 'gerard', 'fruiti', 'plum', 'green', 'beverag']",CCCCCC(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1019751.html,12
6382-06-5,"['cognac', 'fruiti']",CCCCCOC(=O)C(C)O,http://www.thegoodscentscompany.com/data/rw1047731.html,2
19329-89-6,"['nutti', 'creami', 'fruiti']",CC(C)CCOC(=O)C(C)O,http://www.thegoodscentscompany.com/data/rw1045071.html,3
5350-03-8,"['fatti', 'oili', 'waxi']",CCCCCCCCCCCC(=O)OCCCCC,http://www.thegoodscentscompany.com/data/rw1038981.html,3
6309-51-9,"['alcohol', 'oili', 'creami', 'winey', 'gerard', 'fatti', 'waxi', 'wine', 'peach']",CCCCCCCCCCCC(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1003691.html,9
68039-26-9,"['appl', 'tropic', 'fruiti']",CCCCCOC(=O)C(C)CC,http://www.thegoodscentscompany.com/data/rw1038991.html,3
27625-35-0,"['alcohol', 'appl', 'winey', 'gerard', 'beverag', 'pineappl', 'fresh', 'fruiti', 'cherri', 'citrus']",CCC(C)C(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1036561.html,10
61531-45-1,"['floral', 'cognac', 'apricot']",CCCCCCCCC(=O)OCCCCC,http://www.thegoodscentscompany.com/data/rw1411651.html,3
7779-70-6,"['floral', 'oili', 'apricot', 'fruiti']",CCCCCCCCC(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1004061.html,4
638-25-5,"['fatti', 'orri', 'winey', 'cognac']",CCCCCCCC(=O)OCCCCC,http://www.thegoodscentscompany.com/data/rw1004161.html,4
2035-99-6,"['appl', 'pineappl', 'alcohol', 'coconut', 'soapi', 'orri', 'gerard', 'fatti', 'waxi', 'fruiti', 'chocol', 'oili', 'green', 'chees', 'beverag']",CCCCCCCC(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1019811.html,15
5137-52-0,"['balsam', 'tobacco', 'chocol', 'anim']",CCCCCOC(=O)Cc1ccccc1,http://www.thegoodscentscompany.com/data/rw1030731.html,4
102-19-2,"['balsam', 'rosi', 'honey', 'peach', 'gerard', 'chocol', 'fruiti', 'cocoa', 'dairi', 'floral', 'apricot']",CC(C)CCOC(=O)Cc1ccccc1,http://www.thegoodscentscompany.com/data/rw1011171.html,11
624-54-4,"['banana', 'appl', 'ether', 'fresh', 'fruiti', 'apricot']",CCCCCOC(=O)CC,http://www.thegoodscentscompany.com/data/rw1039001.html,6
105-68-0,"['banana', 'appl', 'fresh', 'pineappl', 'tropic', 'peach', 'gerard', 'ripe', 'strawberri', 'fruiti', 'chocol', 'orang', 'green', 'chees', 'cherri', 'apricot']",CCC(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1021091.html,16
27593-23-3,"['dairi', 'creami', 'gerard', 'fatti', 'almond', 'coconut', 'waxi', 'chees', 'mushroom', 'brown', 'fruiti', 'cocoa', 'lacton']",CCCCCC1=CC=CC(=O)O1,http://www.thegoodscentscompany.com/data/rw1005401.html,13
7779-72-8,"['balsam', 'fruiti', 'caramel']",CC(C)CCOC(=O)C(C)=O,http://www.thegoodscentscompany.com/data/rw1005741.html,3
2050-08-0,"['balsam', 'ether', 'earthi', 'aromat', 'herbal', 'herbac', 'floral', 'medicin', 'green', 'woodi']",CCCCCOC(=O)c1ccccc1O,http://www.thegoodscentscompany.com/data/rw1012551.html,10
87-20-7,"['floral', 'woodi', 'herbal']",CC(C)CCOC(=O)c1ccccc1O,http://www.thegoodscentscompany.com/data/rw1006772.html,3
41519-18-0,"['wine', 'fresh', 'fruiti', 'herbal']",C\C=C(/C)C(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1005821.html,4
12262-03-2,"['rose', 'floral', 'waxi']",CCCC/C=C/CCCCC(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1005921.html,3
2173-56-0,"['ripe', 'appl', 'fruiti']",CCCCCOC(=O)CCCC,http://www.thegoodscentscompany.com/data/rw1005951.html,3
25415-62-7,"['fresh', 'appl', 'fruiti']",CCCCCOC(=O)CC(C)C,http://www.thegoodscentscompany.com/data/rw1001051.html,3
2050-09-1,"['appl', 'green', 'ripe', 'grape', 'fresh', 'fruiti', 'chocol', 'apricot']",CCCCC(=O)OCCC(C)C,http://www.thegoodscentscompany.com/data/rw1045091.html,8
659-70-1,"['cognac', 'banana', 'appl', 'fresh', 'tropic', 'alcohol', 'pear', 'grape', 'gerard', 'ripe', 'fruiti', 'chocol', 'dairi', 'green', 'apricot']",CC(C)CCOC(=O)CC(C)C,http://www.thegoodscentscompany.com/data/rw1003561.html,15
1153-51-1,"['musk', 'natur', 'anim']",C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2,http://www.thegoodscentscompany.com/data/rw1010781.html,3
104-46-1,"['anis', 'medicin']",COc1ccc(\C=C\C)cc1,http://www.thegoodscentscompany.com/data/rw1375541.html,2
4180-23-8,"['anis', 'aldehyd', 'spice', 'fresh', 'alcohol', 'aromat', 'herbal', 'gerard', 'fruiti', 'herbac', 'warm']",COc1ccc(\C=C\C)cc1,http://www.thegoodscentscompany.com/data/rw1001152.html,11
591-12-8,"['nutti', 'oili', 'coffe', 'gerard', 'mint', 'coconut', 'tobacco', 'coumarin']",CC1=CCC(=O)O1,http://www.thegoodscentscompany.com/data/rw1029001.html,8
21280-29-5,"['amber', 'musk', 'anim']",CC1(C)CCCC23CCC(C)(CC12)C(=O)O3,http://www.thegoodscentscompany.com/data/rw1004851.html,3
10031-82-0,"['anis', 'spici', 'floral']",CCOc1ccc(C=O)cc1,http://www.thegoodscentscompany.com/data/rw1022121.html,3
